id;timestamp;state;temperature_evaporating_in;temperature_evaporating_out;temperature_flow;temperature_return;temperature_switch_on_sensor;temperature_overheated_gas;pressure_high;pressure_low;pressure_diffence_evaporator;heat_request;user_confirmation;alarm_expansion_valve;incident_flow;incident_compressor;incident_low_pressure;incident_high_pressure;operating_state_water_pump;operating_state_compressor;calculated_overheat_temperature;warning_low_pressure;warning_high_pressure;wait_counter
1;2019-12-15T04:31:47;OFF;44583;15599;9997;5808;45924;86617;33370;60111;14286;true;true;false;false;true;true;true;true;false;77;false;true;18340
2;2019-12-14T22:41:57;OFF;43194;2306;29122;52477;61185;39986;13949;4666;29214;true;false;false;false;false;true;true;false;false;51423;true;true;46676
3;2019-12-15T12:24:13;ERROR;56328;80839;38541;30461;1596;9767;23089;68423;24102;false;true;false;true;false;true;false;false;true;39106;false;false;66252
4;2019-12-14T19:23:24;READY;54671;56770;18485;3131;96958;84228;77513;44975;93949;false;true;true;true;true;true;false;false;true;19598;true;false;96117
5;2019-12-15T05:42:38;READY;96525;28093;60703;54269;27599;14092;29627;80219;16526;false;false;true;false;true;false;false;false;false;1407;true;false;70685
6;2019-12-14T20:26:47;BACKLASH;11586;91495;86310;85003;62329;44945;33089;9541;6355;false;false;true;false;true;true;true;true;false;88721;true;false;38292
7;2019-12-15T10:38:54;BACKLASH;25606;49379;4043;52273;71066;42754;11089;2541;43933;false;false;false;true;true;false;false;true;true;69551;true;false;24929
8;2019-12-14T23:00:46;ERROR;7697;59886;28975;69478;16122;88046;92969;62435;80812;false;true;false;true;false;true;false;false;false;89255;true;true;32434
9;2019-12-14T18:08:25;READY;90682;11005;27213;22793;64769;42710;52;81801;35256;true;false;false;false;true;true;false;false;false;69243;false;false;33761
10;2019-12-15T07:39:34;RUNNING;36362;6489;97178;25391;96244;24687;25178;69630;49724;true;false;false;false;true;false;false;true;true;50267;false;false;3305
